 #  |            identifier             |typ|     coord1 (ICRS,J2000/2000)      |  Mag U  |  Mag B  |  Mag V  |  Mag R  |  Mag I  |  spec. type   |#bib|#not
----|-----------------------------------|---|-----------------------------------|---------|---------|---------|---------|---------|---------------|----|----
351 |OGLE BLG-T2CEP-796                 |WV*|268.2511547831400 -27.8570175250700|     ~   |     ~   |     ~   |     ~   |19.158   |~              |   5|   0
352 |OGLE BLG-T2CEP-4                   |WV*|258.2951766954900 -29.0959336271800|     ~   |     ~   |16.404   |     ~   |14.856   |~              |   7|   0
353 |IRAS 10173-5844                    |WV*|154.7669870390800 -58.9914845844700|     ~   |     ~   |14.814   |13.949   |12.268   |~              |   1|   0
354 |[BCM2019] b333 55 73620            |WV*|265.536498 -29.191617              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
355 |CRTS J180621.4+385632              |WV*|271.5891946786754 +38.9422489941961|     ~   |     ~   |14.31    |     ~   |     ~   |~              |   6|   0
356 |ATO J265.2629-20.5161              |WV*|265.2629771850729 -20.5161309807036|     ~   |     ~   |     ~   |14.606   |13.386   |~              |   2|   0
357 |ATO J264.1966-21.5747              |WV*|264.1966395146999 -21.5746894241700|     ~   |     ~   |     ~   |     ~   |14.956   |~              |   4|   0
358 |[FRS2006] WeCAPP V22899            |WV*|010.811125 +41.395806              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
359 |[DHG2019] 768                      |WV*|262.67137 -34.02631                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
360 |[MFK2013] 4                        |WV*|266.255517 -28.805951              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
361 |Gaia DR3 4053213482518600192       |WV*|275.8058815792253 -25.0729126579686|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
362 |ZTF J193613.56+210557.1            |WV*|294.05650 +21.09921                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
363 |OGLE BLG-T2CEP-1032                |WV*|270.6462321408800 -19.5023756848400|     ~   |     ~   |     ~   |     ~   |17.701   |~              |   3|   0
364 |[DHG2019] 1021                     |WV*|267.23383 -26.94578                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
365 |OGLE J004910.22-724517.3           |WV*|012.2925938062700 -72.7549336502600|     ~   |17.29    |17.07    |     ~   |16.73    |~              |   3|   0
366 |OGLE BLG-T2CEP-308                 |WV*|272.0180611745100 -25.3888574411900|     ~   |     ~   |17.415   |     ~   |15.347   |~              |   7|   0
367 |OGLE GD-T2CEP-157                  |WV*|283.8731926479900 -01.2441882856400|     ~   |     ~   |     ~   |     ~   |16.983   |~              |   2|   0
368 |[DHG2019] 347                      |WV*|244.45312 -50.91736                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
369 |[DHG2019] 20                       |WV*|189.15137 -63.47264                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
370 |[DHG2019] 990                      |WV*|266.75679 -29.74861                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
371 |OGLE BLG-T2CEP-128                 |WV*|268.0568243864300 -30.6219976849500|     ~   |     ~   |17.457   |     ~   |14.871   |~              |   8|   0
372 |CRTS J110206.0-373506              |WV*|165.5251289506954 -37.5853398646139|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
373 |OGLE LMC167.1 26246                |WV*|082.9501064718000 -68.8199884649500|     ~   |     ~   |17.347   |     ~   |16.392   |~              |   9|   0
374 |OGLE GD-T2CEP-209                  |WV*|194.49142 -62.28503                |     ~   |     ~   |     ~   |     ~   |17.213   |~              |   1|   0
375 |OGLE GD-T2CEP-281                  |WV*|279.2345990397762 +05.8280215877869|     ~   |     ~   |     ~   |     ~   |15.193   |~              |   2|   0
376 |ATO J287.4030+24.8387              |WV*|287.4030619166933 +24.8387682068011|     ~   |     ~   |     ~   |12.215   |     ~   |~              |   2|   0
377 |OGLE BLG-T2CEP-260                 |WV*|270.2834775549058 -27.1276001779581|     ~   |     ~   |17.841   |     ~   |15.170   |~              |   8|   0
378 |[BCM2019] b333 46 51854            |WV*|265.713792 -29.206554              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
379 |OGLE GD-T2CEP-226                  |WV*|218.5527724659800 -59.7330143115900|     ~   |     ~   |     ~   |     ~   |18.274   |~              |   3|   0
380 |Gaia DR3 4060896904135597696       |WV*|265.1860689982916 -27.3188753019369|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
381 |OGLE BLG-T2CEP-383                 |WV*|262.1503375254599 -25.9748320912200|     ~   |     ~   |19.658   |     ~   |16.704   |~              |   5|   0
382 |CRTS J124606.5-423806              |WV*|191.5271047419474 -42.6349833375633|     ~   |14.738   |14.276   |14.087   |     ~   |~              |   1|   0
383 |OGLE BLG-T2CEP-892                 |WV*|272.3312875788599 -29.0713339020800|     ~   |     ~   |18.016   |     ~   |16.366   |~              |   5|   0
384 |2MASS J06052700+2500396            |WV*|091.3624814524300 +25.0110106641400|     ~   |     ~   |     ~   |     ~   |     ~   |G5             |   3|   0
385 |PSO J009.9483+40.6894              |WV*|009.94829231000 +40.68942090000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
386 |OGLE BLG-T2CEP-1015                |WV*|268.0799320199699 -24.8825545215600|     ~   |     ~   |     ~   |     ~   |16.310   |~              |   2|   0
387 |OGLE BLG-T2CEP-1327                |WV*|280.6464779232292 -28.0909424002319|     ~   |     ~   |     ~   |     ~   |14.804   |~              |   1|   0
388 |OGLE BLG-T2CEP-1127                |WV*|256.5662199589067 -32.0793658232795|     ~   |     ~   |     ~   |     ~   |14.364   |~              |   1|   0
389 |Cl* NGC 5139 B V60                 |WV*|201.648704 -47.546778              |14.343   |14.001   |13.908   |13.410   |13.197   |~              |  25|   0
390 |OGLE BLG-T2CEP-699                 |WV*|266.6972303331900 -26.6091121727600|     ~   |     ~   |     ~   |     ~   |17.888   |~              |   6|   0
391 |ZTF J195706.71+305553.3            |WV*|299.27797 +30.93148                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
392 |OGLE BLG-T2CEP-1103                |WV*|255.30371 -30.11536                |     ~   |     ~   |     ~   |     ~   |12.565   |~              |   1|   0
393 |[MFK2013] 26                       |WV*|266.471606 -28.939156              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
394 |[FRS2006] WeCAPP V17377            |WV*|010.84255149000 +41.31408401000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
395 |[DHG2019] 527                      |WV*|255.56304 -39.31647                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
396 |[BCM2019] b333 211 87565           |WV*|266.197176 -29.323493              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
397 |OGLE BLG-T2CEP-910                 |WV*|273.8823543861100 -24.0575874437200|     ~   |     ~   |16.108   |     ~   |14.374   |~              |   5|   0
398 |OGLE BLG683.21 11341               |WV*|266.6729144170499 -25.4690051282500|     ~   |     ~   |18.796   |     ~   |15.666   |~              |   4|   0
399 |CRTS J145732.1-265122              |WV*|224.3839851277704 -26.8561895278556|     ~   |17.024   |15.856   |15.684   |     ~   |~              |   1|   0
400 |Gaia DR3 2030893432165189760       |WV*|300.7793031897350 +31.4713254091644|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
401 |[LOM2015] 242814                   |WV*|264.063946 -44.733969              |     ~   |     ~   |15.95    |     ~   |14.31    |~              |   2|   0
402 |OGLE BLG-T2CEP-445                 |WV*|263.4270044845000 -26.9253216693900|     ~   |     ~   |19.383   |     ~   |16.741   |~              |   6|   0
403 |ATO J287.2728+28.0646              |WV*|287.2728539236075 +28.0647124290047|     ~   |     ~   |     ~   |14.302   |     ~   |~              |   1|   0
404 |OGLE BLG-T2CEP-9                   |WV*|261.0928750725400 -29.4598773412600|     ~   |     ~   |17.630   |     ~   |15.608   |~              |   8|   0
405 |CRTS J202138.6-092820              |WV*|305.41115 -09.47270                |     ~   |     ~   |18.40    |     ~   |     ~   |~              |   2|   0
406 |V* AX Tel                          |WV*|283.2047035325800 -56.6754996421700|     ~   |12.70    |12.24    |     ~   |     ~   |~              |   5|   0
407 |[DHG2019] 1184                     |WV*|270.04650 -21.56550                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
408 |PSO J010.2106+41.5947              |WV*|010.21072625000 +41.59476939000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
409 |ATO J252.2381-13.8919              |WV*|252.2381947458199 -13.8919105738900|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   4|   0
410 |CRTS J170308.6-051850              |WV*|255.7863180368800 -05.3139485114900|     ~   |     ~   |13.16    |     ~   |     ~   |~              |   6|   0
411 |OGLE LMC-T2CEP-214                 |WV*|072.4720749554500 -64.0683117028100|     ~   |     ~   |     ~   |     ~   |18.009   |~              |   3|   0
412 |OGLE GD-T2CEP-235                  |WV*|228.21721 -55.47628                |     ~   |     ~   |18.436   |     ~   |15.206   |~              |   1|   0
413 |V* V554 Oph                        |WV*|265.7139385802400 -21.5032137417000|     ~   |12.60    |13.518   |     ~   |11.619   |~              |  27|   0
414 |PSO J010.1899+40.3938              |WV*|010.1899285092500 +40.3938192539300|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
415 |OGLE BLG-T2CEP-735                 |WV*|267.1797877582499 -29.9029386437400|     ~   |     ~   |     ~   |     ~   |16.456   |~              |   7|   0
416 |[DHG2019] 287                      |WV*|237.90517 -54.04647                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
417 |CRTS J180934.9-665608              |WV*|272.3964575537237 -66.9353925716847|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
418 |[FRS2006] WeCAPP V06326            |WV*|010.622458 +41.214639              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
419 |CRTS J162151.4+385434              |WV*|245.4645049171642 +38.9097112271722|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
420 |OGLE BLG-T2CEP-274                 |WV*|270.6013282227800 -33.6773533962400|     ~   |     ~   |15.832   |     ~   |14.667   |~              |   8|   0
421 |TYC 3271-707-1                     |WV*|014.1960534046900 +50.4036621433700|     ~   |10.64    |9.75     |     ~   |     ~   |~              |   0|   0
422 |OGLE BLG-T2CEP-990                 |WV*|261.1594014251300 -31.6772256804300|     ~   |     ~   |     ~   |     ~   |16.143   |~              |   2|   0
423 |OGLE SMC-T2CEP-42                  |WV*|020.8611813929800 -72.0067477992900|     ~   |     ~   |18.860   |     ~   |18.246   |~              |   8|   0
424 |[DHG2019] 1291                     |WV*|272.75158 -20.25722                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
425 |V* V1313 Aql                       |WV*|284.3507901736700 +10.7092706199300|     ~   |15.17    |13.59    |13.14    |     ~   |~              |   4|   0
426 |OGLE GD-T2CEP-1                    |WV*|161.6827994790200 -61.5782794001700|     ~   |     ~   |     ~   |     ~   |17.873   |~              |   1|   0
427 |Gaia DR3 4164855797253694592       |WV*|266.7332741305829 -09.9308073327664|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
428 |V* V802 Sgr                        |WV*|282.1707222155100 -26.1513485159700|     ~   |14.36    |     ~   |     ~   |12.424   |~              |  18|   0
429 |ATO J288.1913+55.1283              |WV*|288.1913870818004 +55.1283557476780|     ~   |14.160   |13.311   |13.188   |     ~   |~              |   2|   0
430 |Cl* NGC 6229 SAW V8                |WV*|251.7430227546499 +47.5158154823800|     ~   |16.29    |15.500   |     ~   |14.620   |~              |  10|   0
431 |[BCM2019] b333 48 79106            |WV*|266.229951 -29.626450              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
432 |Cl* NGC 6752 CS 31                 |WV*|287.8503508074100 -59.9434533934400|     ~   |13.40    |13.00    |     ~   |     ~   |~              |  10|   0
433 |OGLE GD-T2CEP-329                  |WV*|248.0956466768392 -42.0420313492433|     ~   |     ~   |18.63    |     ~   |16.428   |~              |   1|   0
434 |[FRS2006] WeCAPP V10459            |WV*|010.766125 +41.253750              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
435 |V* V4067 Oph                       |WV*|259.5103797370491 -23.7624299307214|     ~   |17.104   |15.429   |15.078   |13.436   |~              |   2|   0
436 |SPICY 66662                        |WV*|267.502285 -26.915353              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
437 |OGLE LMC-SC17 237748               |WV*|084.9580972024900 -69.8480359186900|     ~   |     ~   |20.149   |     ~   |18.416   |~              |  11|   0
438 |ATO J276.3956-23.0935              |WV*|276.3957069026129 -23.0935225900394|     ~   |     ~   |     ~   |15.082   |14.114   |~              |   2|   0
439 |ATO J286.1708-22.6721              |WV*|286.1708630016733 -22.6721540454111|     ~   |16.718   |15.975   |16.055   |15.316   |~              |   2|   0
440 |OGLE BLG-T2CEP-625                 |WV*|265.6385026205500 -26.8892125124300|     ~   |     ~   |19.382   |     ~   |15.347   |~              |   9|   0
441 |[DHG2019] 921                      |WV*|265.51371 -30.62300                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
442 |[DHG2019] 931                      |WV*|265.65837 -28.41169                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
443 |OGLE BLG-T2CEP-1117                |WV*|255.9946869823079 -28.3319347165406|     ~   |     ~   |     ~   |     ~   |14.223   |~              |   1|   0
444 |Gaia DR3 4037080215270770432       |WV*|270.4706625131638 -37.4709481946086|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
445 |[FRS2006] WeCAPP V20327            |WV*|010.68454628000 +41.34699563000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
446 |CRTS J155921.5-280138              |WV*|239.8391975771300 -28.0280780258300|     ~   |     ~   |14.18    |     ~   |     ~   |~              |   5|   0
447 |ZTF J062116.78+411807.7            |WV*|095.31994 +41.30216                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
448 |[FRS2006] WeCAPP V22715            |WV*|010.718417 +41.399500              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
449 |OGLE BLG-T2CEP-983                 |WV*|260.93950 -33.04264                |     ~   |     ~   |     ~   |     ~   |18.046   |~              |   2|   0
450 |Gaia DR3 6029836704459785216       |WV*|255.8251660788538 -29.4192258061781|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
451 |OGLE GD-T2CEP-6                    |WV*|178.99962 -62.28197                |     ~   |     ~   |19.851   |     ~   |17.306   |~              |   2|   0
452 |OGLE BLG-T2CEP-27                  |WV*|264.9723357199799 -20.9929781571000|     ~   |     ~   |15.486   |     ~   |13.467   |~              |   8|   0
453 |PSO J010.4721+41.5088              |WV*|010.47208021000 +41.50888143000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
454 |V* V4110 Sgr                       |WV*|270.7579 -29.7667                  |     ~   |17.6     |     ~   |     ~   |     ~   |~              |   3|   0
455 |ASAS J064227+0817.5                |WV*|100.6110579424600 +08.2914269823200|     ~   |12.42    |11.46    |     ~   |     ~   |~              |   1|   0
456 |2MASS J17222333-3644037            |WV*|260.597229 -36.734367              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   3|   0
457 |PSO J011.0906+41.7773              |WV*|011.09063707000 +41.77738552000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
458 |CRTS J152810.8+271802              |WV*|232.0452269166600 +27.3004636145100|     ~   |     ~   |16.99    |     ~   |     ~   |~              |   5|   0
459 |Gaia DR2 2972082493697861504       |WV*|084.7613329597900 -15.4104452198600|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
460 |[DHG2019] 1196                     |WV*|270.17617 -24.50064                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
461 |[DHG2019] 693                      |WV*|261.11696 -38.18569                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
462 |[DHG2019] 797                      |WV*|263.26846 -34.01711                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
463 |CRTS J172504.5+143755              |WV*|261.26917 +14.63220                |     ~   |     ~   |14.28    |     ~   |     ~   |~              |   2|   0
464 |OGLE BLG-T2CEP-639                 |WV*|265.8045789892500 -27.3996797593400|     ~   |     ~   |20.274   |     ~   |16.546   |~              |   6|   0
465 |ZTF J013531.63+690955.3            |WV*|023.8817061520100 +69.1653443743800|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   3|   0
466 |[BCM2019] b333 612 31325           |WV*|266.618043 -29.241907              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
467 |[DHG2019] 739                      |WV*|261.89333 -32.05856                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
468 |OGLE BLG-T2CEP-777                 |WV*|267.8904330829799 -29.0056418266400|     ~   |     ~   |21.695   |     ~   |16.606   |~              |   5|   0
469 |OGLE BLG-T2CEP-656                 |WV*|266.0956803530500 -27.6004536249800|     ~   |     ~   |     ~   |     ~   |18.435   |~              |   5|   0
470 |[BCM2019] b333 310 62312           |WV*|265.853527 -29.041267              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
471 |Gaia DR3 5832238384516068224       |WV*|238.8983667745900 -62.8119498147239|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
472 |[FRS2006] WeCAPP V22419            |WV*|010.84580549000 +41.40070514000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   3|   0
473 |[DHG2019] 706                      |WV*|261.28617 -34.89986                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
474 |WVSC 16                            |WV*|250.399529 +36.464598              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
475 |OGLE SMC-T2CEP-4                   |WV*|009.584942 -73.287888              |     ~   |     ~   |17.862   |     ~   |17.093   |~              |   7|   0
476 |OGLE LMC139.3 412                  |WV*|072.4536498896500 -67.4223531712700|     ~   |     ~   |18.513   |     ~   |18.037   |~              |   8|   0
477 |OGLE GD-T2CEP-156                  |WV*|283.7975368852100 -03.0592561320000|     ~   |     ~   |     ~   |     ~   |16.183   |~              |   3|   0
478 |ZTF J182158.80-062045.5            |WV*|275.49504 -06.34599                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
479 |ZTF J165707.54-040542.3            |WV*|254.2815050013500 -04.0951116024800|     ~   |14.71    |14.023   |     ~   |12.944   |~              |   7|   0
480 |[BCM2019] b333 314 73322           |WV*|266.028571 -28.837900              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
481 |ATO J113.7846-24.5489              |WV*|113.7846699493071 -24.5489937265611|     ~   |     ~   |18.033   |     ~   |16.006   |~              |   2|   0
482 |OGLE GD-T2CEP-39                   |WV*|186.29083 -62.41161                |     ~   |     ~   |19.689   |     ~   |17.744   |~              |   2|   0
483 |OGLE GD-T2CEP-14                   |WV*|134.4349571222300 -42.6330221124000|     ~   |     ~   |20.92    |     ~   |16.934   |~              |   2|   0
484 |OGLE BLG-T2CEP-292                 |WV*|271.4527901498500 -26.9176050534800|     ~   |     ~   |14.992   |     ~   |13.191   |~              |   8|   0
485 |ASAS J081756+2327.3                |WV*|124.4830675690000 +23.4539474760100|     ~   |     ~   |13.25    |     ~   |     ~   |~              |   7|   0
486 |V* FM Del                          |WV*|308.4344055416800 +16.2715349088800|     ~   |     ~   |     ~   |     ~   |     ~   |F6.5           |  16|   0
487 |PSO J009.4295+40.8981              |WV*|009.42949776000 +40.89814079000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
488 |OGLE GD-T2CEP-48                   |WV*|206.1585346674500 -65.1386780260900|     ~   |     ~   |14.282   |     ~   |12.737   |~              |   2|   0
489 |[DHG2019] 211                      |WV*|231.18750 -56.62008                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
490 |V* IU Cen                          |WV*|211.8788106121700 -56.6986252379500|     ~   |     ~   |12.48    |     ~   |11.781   |~              |  10|   0
491 |[DHG2019] 143                      |WV*|220.57946 -61.99222                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
492 |PSO J010.1879+41.6057              |WV*|010.18795978000 +41.60570106000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
493 |OGLE LMC-SC21 132285               |WV*|080.3969673437700 -70.2238253183800|     ~   |     ~   |16.995   |     ~   |16.039   |~              |  15|   0
494 |OGLE BLG-T2CEP-501                 |WV*|264.2332974979900 -29.3051987652900|     ~   |     ~   |21.503   |     ~   |17.595   |~              |   5|   0
495 |[DHG2019] 807                      |WV*|263.5396397587850 -32.7191032430319|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
496 |[BCM2019] b333 410 76956           |WV*|265.905972 -29.016820              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
497 |OGLE BLG-T2CEP-681                 |WV*|266.3906263349700 -25.6808299956100|     ~   |     ~   |19.900   |     ~   |17.371   |~              |   5|   0
498 |OGLE GD-T2CEP-51                   |WV*|209.6325368106929 -59.8269543413311|     ~   |     ~   |     ~   |     ~   |17.266   |~              |   2|   0
499 |[DHG2019] 1042                     |WV*|267.56137 -26.61753                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
500 |[DHG2019] 912                      |WV*|265.42517 -31.44381                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
501 |OGLE BLG-T2CEP-139                 |WV*|268.2388428593537 -29.3081435398672|     ~   |     ~   |18.444   |     ~   |15.382   |~              |   8|   0
502 |OGLE BLG-T2CEP-969                 |WV*|259.8841875684100 -33.3889543258600|     ~   |     ~   |     ~   |     ~   |15.605   |~              |   2|   0
503 |Gaia DR3 4077866736603178880       |WV*|277.7400855032446 -22.7888938165744|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
504 |OGLE GD-T2CEP-67                   |WV*|226.95308 -60.39428                |     ~   |     ~   |19.583   |     ~   |16.821   |~              |   2|   0
505 |[FRS2006] WeCAPP V17810            |WV*|010.774792 +41.318556              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
506 |OGLE BLG-T2CEP-924                 |WV*|278.5673062013300 -24.2361340923600|     ~   |     ~   |14.321   |     ~   |13.052   |~              |   5|   0
507 |2MASS J18084028-2029433            |WV*|272.167842 -20.495367              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
508 |OGLE LMC-SC5 323141                |WV*|080.98292 -69.42503                |     ~   |19.375   |18.658   |     ~   |17.825   |~              |  10|   0
509 |CRTS J022357.3+124942              |WV*|035.9891112972896 +12.8282505788511|     ~   |15.511   |14.102   |14.708   |     ~   |~              |   4|   0
510 |[DHG2019] 759                      |WV*|262.39887 -34.26925                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
511 |ZTF J210736.62+463712.1            |WV*|316.90261 +46.62005                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
512 |OGLE BLG-T2CEP-619                 |WV*|265.5662055637337 -26.8405951697389|     ~   |     ~   |     ~   |     ~   |18.121   |~              |   5|   0
513 |OGLE BLG-T2CEP-771                 |WV*|267.7469208928980 -28.3139140060175|     ~   |     ~   |     ~   |     ~   |18.114   |~              |   5|   0
514 |OGLE BLG-T2CEP-272                 |WV*|270.5273100864800 -29.3720635036800|     ~   |     ~   |15.096   |     ~   |13.217   |~              |   7|   0
515 |OGLE BLG-T2CEP-170                 |WV*|268.5873990120400 -34.7252328144700|     ~   |     ~   |14.326   |     ~   |12.849   |~              |   8|   0
516 |[FRS2006] WeCAPP V11221            |WV*|010.656083 +41.258889              |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
517 |ASAS J021949+0251.6                |WV*|034.9536147899400 +02.8597653451700|     ~   |11.536   |10.944   |10.853   |     ~   |G0             |   3|   0
518 |CRTS J225345.2-024855              |WV*|343.4387828745300 -02.8156065630300|     ~   |14.477   |13.82    |     ~   |     ~   |~              |   7|   0
519 |OGLE LMC-SC17 221134               |WV*|084.9351173665900 -70.1394027494400|     ~   |     ~   |     ~   |16.88    |16.373   |~              |  12|   0
520 |[DHG2019] 651                      |WV*|260.33688 -36.85128                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
521 |Gaia DR3 4660219496818765952       |WV*|082.3640445645900 -66.8021457074300|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
522 |OGLE BLG-T2CEP-749                 |WV*|267.5212960443599 -32.2714540991200|     ~   |     ~   |20.852   |     ~   |17.529   |~              |   6|   0
523 |[DHG2019] 1002                     |WV*|266.96808 -29.33022                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
524 |OGLE BLG-T2CEP-311                 |WV*|272.1463517408200 -26.7867680015800|     ~   |     ~   |15.744   |     ~   |14.133   |~              |   8|   0
525 |OGLE BLG-T2CEP-959                 |WV*|258.5194964491700 -31.5935012918200|     ~   |     ~   |     ~   |     ~   |12.943   |~              |   1|   0
526 |OGLE BLG-T2CEP-495                 |WV*|264.0835844014800 -28.5356326742800|     ~   |     ~   |18.493   |     ~   |15.666   |~              |   5|   0
527 |V* V516 Sco                        |WV*|263.2815984934999 -39.9098776510000|     ~   |     ~   |13.20    |     ~   |11.534   |~              |   5|   0
528 |OGLE GD-T2CEP-216                  |WV*|211.49342 -59.52558                |     ~   |     ~   |18.982   |     ~   |15.278   |~              |   1|   0
529 |CRTS J011537.3-161446              |WV*|018.9055904109200 -16.2463384141300|     ~   |     ~   |15.71    |     ~   |     ~   |~              |   3|   0
530 |OGLE BLG-T2CEP-606                 |WV*|265.4157032529399 -28.1343572709800|     ~   |     ~   |20.105   |     ~   |15.682   |~              |   6|   0
531 |ZTF J183347.56+162557.1            |WV*|278.4482485321000 +16.4325457279300|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   3|   0
532 |Gaia DR3 4251897540104152576       |WV*|280.8861358112691 -07.8922135247453|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
533 |Gaia DR3 5264787786368795136       |WV*|091.4735445187167 -74.7002751361786|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   0|   0
534 |CRTS J045747.0+233026              |WV*|074.4462868205854 +23.5072167039922|     ~   |     ~   |15.94    |     ~   |     ~   |~              |   3|   0
535 |OGLE BLG-T2CEP-549                 |WV*|264.7588792939400 -34.8943648586600|     ~   |     ~   |19.302   |     ~   |16.638   |~              |   5|   0
536 |OGLE BLG-T2CEP-1248                |WV*|267.54904 -37.04969                |     ~   |     ~   |15.112   |     ~   |13.75    |~              |   6|   0
537 |[FRS2006] WeCAPP V05997            |WV*|010.7210199515400 +41.2112999878700|     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
538 |OGLE LMC167.8 59384                |WV*|082.8325907952100 -68.8652372325200|     ~   |     ~   |18.545   |     ~   |17.750   |~              |   8|   0
539 |PSO J010.9568+41.2106              |WV*|010.95679539000 +41.21061840000    |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   2|   0
540 |[DHG2019] 725                      |WV*|261.60942 -33.54289                |     ~   |     ~   |     ~   |     ~   |     ~   |~              |   1|   0
541 |OGLE LMC-SC9 52800                 |WV*|078.1268212832517 -69.1211685589242|     ~   |16.56    |18.588   |     ~   |18.018   |~              |  12|   0
542 |Terz V 2265                        |WV*|262.0688360797200 -24.8442994521400|     ~   |     ~   |15.880   |     ~   |13.746   |~              |   7|   0
543 |OGLE SMC-T2CEP-21                  |WV*|013.45700 -72.79372                |     ~   |     ~   |18.999   |     ~   |18.233   |~              |   7|   0
